년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2018,11,06,117996,86299,68452,17847,26.1,2018/11/06(10:00)
2018,11,05,117996,85339,68082,17257,25.3,2018/11/05(19:00)
2018,11,04,117996,83304,58032,25272,43.5,2018/11/04(20:00)
2018,11,03,117996,84461,59940,24521,40.9,2018/11/03(01:00)
2018,11,02,117996,86318,68213,18105,26.5,2018/11/02(09:00)
2018,11,01,117996,85019,69302,15717,22.7,2018/11/01(19:00)
2018,10,31,117996,84708,69211,15497,22.4,2018/10/31(19:00)
2018,10,30,117996,84796,70329,14467,20.6,2018/10/30(19:00)
2018,10,29,117996,84867,69629,15238,21.9,2018/10/29(19:00)
2018,10,28,117996,80886,57363,23523,41,2018/10/28(20:00)
2018,10,27,117996,78853,59055,19798,33.5,2018/10/27(19:00)
2018,10,26,117996,78637,68352,10285,15,2018/10/26(10:00)
2018,10,25,117996,80187,68029,12158,17.9,2018/10/25(19:00)
2018,10,24,117996,80567,67241,13326,19.8,2018/10/24(19:00)
2018,10,23,117996,80016,68261,11755,17.2,2018/10/23(19:00)
2018,10,22,117996,80080,67942,12138,17.9,2018/10/22(19:00)
2018,10,21,117996,78562,57268,21294,37.2,2018/10/21(20:00)
2018,10,20,117996,77857,58460,19397,33.2,2018/10/20(19:00)
2018,10,19,117996,81181,66699,14482,21.7,2018/10/19(19:00)
2018,10,18,117996,81609,68273,13336,19.5,2018/10/18(19:00)
2018,10,17,117996,81346,67428,13918,20.4,2018/10/17(19:00)
2018,10,16,117996,80683,68140,12543,18.4,2018/10/16(19:00)
2018,10,15,117996,82338,67919,14419,21.2,2018/10/15(01:00)
2018,10,14,117996,80738,57197,23541,41.2,2018/10/14(20:00)
2018,10,13,117996,79514,58171,21343,36.7,2018/10/13(20:00)
2018,10,12,117996,83471,66908,16563,24.8,2018/10/12(19:00)
2018,10,11,117996,82365,67931,14434,21.2,2018/10/11(19:00)
2018,10,10,117996,80746,67212,13534,20.1,2018/10/10(19:00)
2018,10,09,117996,81359,63339,18020,28.5,2018/10/09(20:00)
2018,10,08,117996,82849,66445,16404,24.7,2018/10/08(19:00)
2018,10,07,117996,80216,56947,23269,40.9,2018/10/07(20:00)
2018,10,06,117996,80345,60380,19965,33.1,2018/10/06(11:00)
2018,10,05,117996,83732,68545,15187,22.2,2018/10/05(17:00)
2018,10,04,117996,83069,68210,14859,21.8,2018/10/04(19:00)
2018,10,03,117996,82997,63204,19793,31.3,2018/10/03(20:00)
2018,10,02,117996,83866,66291,17575,26.5,2018/10/02(19:00)
2018,10,01,117996,84255,66789,17466,26.2,2018/10/01(19:00)
2018,09,30,117996,85610,57311,28299,49.4,2018/09/30(20:00)
2018,09,29,117996,85117,59632,25485,42.7,2018/09/29(20:00)
2018,09,28,117996,87832,66524,21308,32,2018/09/28(17:00)
2018,09,27,117996,88882,65404,23478,35.9,2018/09/27(19:00)
2018,09,26,117996,87542,55992,31550,56.3,2018/09/26(20:00)
2018,09,25,117996,87802,51414,36388,70.8,2018/09/25(20:00)
2018,09,24,117996,87986,47981,40005,83.4,2018/09/24(20:00)
2018,09,23,117996,88136,51604,36532,70.8,2018/09/23(20:00)
2018,09,22,117996,89729,57029,32700,57.3,2018/09/22(20:00)
2018,09,21,117996,95074,69729,25345,36.3,2018/09/21(11:00)
2018,09,20,117996,93862,71784,22078,30.8,2018/09/20(15:00)
2018,09,19,117996,92949,72654,20295,27.9,2018/09/19(15:00)
2018,09,18,117996,92418,72897,19521,26.8,2018/09/18(17:00)
2018,09,17,117996,92041,73080,18961,25.9,2018/09/17(17:00)
2018,09,16,117996,84610,61788,22822,36.9,2018/09/16(20:00)
2018,09,15,117996,87380,64896,22484,34.6,2018/09/15(12:00)
2018,09,14,117996,92337,73530,18807,25.6,2018/09/14(15:00)
2018,09,13,117996,92278,73607,18671,25.4,2018/09/13(17:00)
2018,09,12,117996,92726,73004,19722,27,2018/09/12(17:00)
2018,09,11,117996,92845,71320,21525,30.2,2018/09/11(17:00)
2018,09,10,117996,91723,72230,19493,27,2018/09/10(17:00)
2018,09,09,117996,88849,59747,29102,48.7,2018/09/09(20:00)
2018,09,08,117996,86196,61542,24654,40.1,2018/09/08(20:00)
2018,09,07,117996,94835,73304,21531,29.4,2018/09/07(15:00)
2018,09,06,117996,94775,76604,18171,23.7,2018/09/06(15:00)
2018,09,05,117996,94830,75416,19414,25.7,2018/09/05(17:00)
2018,09,04,117996,94239,76268,17971,23.6,2018/09/04(17:00)
2018,09,03,117996,94223,78405,15818,20.2,2018/09/03(17:00)
2018,09,02,117996,91846,62574,29272,46.8,2018/09/02(20:00)
2018,09,01,117996,92587,65117,27470,42.2,2018/09/01(15:00)
2018,08,31,117996,97053,77420,19633,25.4,2018/08/31(11:00)
2018,08,30,117996,97129,81281,15848,19.5,2018/08/30(17:00)
2018,08,29,117840,97798,80284,16872,21,2018/08/29(17:00)
2018,08,28,117840,98287,79359,18928,23.9,2018/08/28(17:00)
2018,08,27,117840,98259,77224,21035,27.2,2018/08/27(17:00)
2018,08,26,117840,89602,61434,28168,45.9,2018/08/26(20:00)
2018,08,25,117840,91111,68483,22628,33,2018/08/25(14:00)
2018,08,24,117840,98764,79844,18920,23.7,2018/08/24(12:00)
2018,08,23,117840,98679,84786,13893,16.4,2018/08/23(15:00)
2018,08,22,117840,97791,87911,9880,11.2,2018/08/22(17:00)
2018,08,21,117840,98147,84025,14122,16.8,2018/08/21(17:00)
2018,08,20,117840,99274,83917,15357,18.3,2018/08/20(17:00)
2018,08,19,117840,93003,66730,26273,39.4,2018/08/19(20:00)
2018,08,18,117840,93030,67131,25899,38.6,2018/08/18(17:00)
2018,08,17,117840,99458,80289,19169,23.9,2018/08/17(17:00)
2018,08,16,117840,99943,88720,11223,12.6,2018/08/16(15:00)
2018,08,15,117840,98106,83275,14831,17.8,2018/08/15(15:00)
2018,08,14,117840,100250,91548,8702,9.5,2018/08/14(17:00)
2018,08,13,117840,100194,91405,8789,9.6,2018/08/13(17:00)
2018,08,12,117840,90835,73509,17326,23.6,2018/08/12(20:00)
2018,08,11,117840,90671,75167,15504,20.6,2018/08/11(15:00)
2018,08,10,117840,100189,87807,12382,14.1,2018/08/10(17:00)
2018,08,09,117840,99902,88582,11320,12.8,2018/08/09(17:00)
2018,08,08,117840,99829,88955,10874,12.2,2018/08/08(17:00)
2018,08,07,117840,99399,88893,10506,11.8,2018/08/07(17:00)
2018,08,06,117840,99237,88816,10421,11.7,2018/08/06(17:00)
2018,08,05,117840,95002,74791,20211,27,2018/08/05(21:00)
2018,08,04,117840,95423,74087,21336,28.8,2018/08/04(20:00)
2018,08,03,117840,99023,81589,17434,21.4,2018/08/03(17:00)
2018,08,02,117840,97975,82283,15692,19.1,2018/08/02(18:00)
2018,08,01,117840,96321,82486,13835,16.8,2018/08/01(18:00)
2018,07,31,117477,96087,83087,13000,15.6,2018/07/31(17:00)
2018,07,30,117477,96016,82882,13134,15.8,2018/07/30(17:00)
2018,07,29,117477,92104,72063,20041,27.8,2018/07/29(20:00)
2018,07,28,117477,92232,77487,14745,19,2018/07/28(12:00)
2018,07,27,117205,99117,90678,8439,9.3,2018/07/27(17:00)
2018,07,26,117205,99309,90682,8627,9.5,2018/07/26(17:00)
2018,07,25,117205,99296,90399,8897,9.8,2018/07/25(17:00)
2018,07,24,117205,99570,92478,7092,7.7,2018/07/24(17:00)
2018,07,23,117205,98296,90695,7601,8.4,2018/07/23(17:00)
2018,07,22,117205,97241,73794,23447,31.8,2018/07/22(21:00)
2018,07,21,117205,95628,76999,18629,24.2,2018/07/21(15:00)
2018,07,20,117205,97502,88080,9422,10.7,2018/07/20(17:00)
2018,07,19,117205,97937,87591,10346,11.8,2018/07/19(17:00)
2018,07,18,117205,97759,86710,11048,12.7,2018/07/18(17:00)
2018,07,17,117205,97113,86286,10827,12.5,2018/07/17(17:00)
2018,07,16,117205,95758,86306,9452,11,2018/07/16(17:00)
2018,07,15,117205,93127,69798,23329,33.4,2018/07/15(21:00)
2018,07,14,117205,92605,70700,21905,31,2018/07/14(15:00)
2018,07,13,117205,95558,82076,13482,16.4,2018/07/13(17:00)
2018,07,12,117205,96809,81393,15416,18.9,2018/07/12(17:00)
2018,07,11,117205,96148,79406,16742,21.1,2018/07/11(15:00)
2018,07,10,117205,95595,76258,19337,25.4,2018/07/10(17:00)
2018,07,09,117205,95045,70920,24125,34,2018/07/09(15:00)
2018,07,08,117205,90879,58944,31935,54.2,2018/07/08(21:00)
2018,07,07,117205,89827,60855,28972,47.6,2018/07/07(16:00)
2018,07,06,117205,91535,73639,17896,24.3,2018/07/06(15:00)
2018,07,05,117205,91119,77530,13589,17.5,2018/07/05(15:00)
2018,07,04,117205,89359,78919,10440,13.2,2018/07/04(17:00)
2018,07,03,117205,89020,77312,11708,15.1,2018/07/03(15:00)
2018,07,02,117205,89068,75611,11676,15.1,2018/07/02(15:00)
2018,07,01,117205,87679,60609,27070,44.7,2018/07/01(21:00)
2018,06,30,117205,88076,65571,22505,34.3,2018/06/30(14:00)
2018,06,29,117111,89332,75049,14283,19,2018/06/29(17:00)
2018,06,28,117111,88067,74820,13247,17.7,2018/06/28(15:00)
2018,06,27,117111,87793,74803,12990,17.4,2018/06/27(17:00)
2018,06,26,117111,89067,75237,13830,18.4,2018/06/26(17:00)
2018,06,25,117111,87256,76606,10650,13.9,2018/06/25(17:00)
2018,06,24,117111,84269,60899,23370,38.4,2018/06/24(21:00)
2018,06,23,117111,83862,61832,22030,35.6,2018/06/23(15:00)
2018,06,22,117111,86209,73832,12377,16.8,2018/06/22(17:00)
2018,06,21,117790,86791,72656,14135,19.5,2018/06/21(17:00)
2018,06,20,117790,85079,72551,12528,17.3,2018/06/20(17:00)
2018,06,19,117790,84861,72215,12646,17.5,2018/06/19(15:00)
2018,06,18,117790,84329,73210,11119,15.2,2018/06/18(17:00)
2018,06,17,117790,83729,58275,25454,43.7,2018/06/17(21:00)
2018,06,16,117790,83170,58833,24337,41.4,2018/06/16(21:00)
2018,06,15,117790,85115,68421,16694,24.4,2018/06/15(17:00)
2018,06,14,117790,85370,68133,17237,25.3,2018/06/14(17:00)
2018,06,13,117790,85139,65009,20130,31,2018/06/13(15:00)
2018,06,12,117790,84032,68930,15102,21.9,2018/06/12(17:00)
2018,06,11,117790,84435,68243,16192,23.7,2018/06/11(17:00)
2018,06,10,117790,83297,56753,26544,46.8,2018/06/10(21:00)
2018,06,09,117790,82730,61116,21614,35.4,2018/06/09(15:00)
2018,06,08,117790,83419,71187,12232,17.2,2018/06/08(17:00)
2018,06,07,117790,82558,73379,9179,12.5,2018/06/07(17:00)
2018,06,06,117790,82133,65117,17016,26.1,2018/06/06(17:00)
2018,06,05,117790,82500,71221,11279,15.8,2018/06/05(17:00)
2018,06,04,117790,81586,71429,10157,14.2,2018/06/04(17:00)
2018,06,03,117790,79806,58359,21447,36.8,2018/06/03(21:00)
2018,06,02,117790,80601,59990,20611,34.4,2018/06/02(15:00)
2018,06,01,117790,83704,70127,13577,19.4,2018/06/01(17:00)
2018,05,31,117790,84738,69024,15714,22.8,2018/05/31(17:00)
2018,05,30,117589,83449,70407,13042,18.5,2018/05/30(15:00)
2018,05,29,117589,81615,70664,10951,15.5,2018/05/29(17:00)
2018,05,28,117589,80264,70232,10032,14.3,2018/05/28(17:00)
2018,05,27,117589,78783,56576,22207,39.3,2018/05/27(21:00)
2018,05,26,117589,76661,58811,17850,30.4,2018/05/26(21:00)
2018,05,25,117589,80698,67071,13627,20.3,2018/05/25(15:00)
2018,05,24,117589,79966,66977,12989,19.4,2018/05/24(17:00)
2018,05,23,117589,80982,65409,15573,23.8,2018/05/23(17:00)
2018,05,22,117589,81093,60900,20193,33.2,2018/05/22(17:00)
2018,05,21,117589,80612,64307,16305,25.4,2018/05/21(17:00)
2018,05,20,117589,78999,55326,23673,42.8,2018/05/20(21:00)
2018,05,19,117589,79015,57867,21148,36.5,2018/05/19(11:00)
2018,05,18,117589,81942,70160,11782,16.8,2018/05/18(11:00)
2018,05,17,117589,82000,73173,8827,12.1,2018/05/17(15:00)
2018,05,16,117589,82967,72229,10738,14.9,2018/05/16(15:00)
2018,05,15,117589,80592,70067,10525,15,2018/05/15(17:00)
2018,05,14,117589,79618,66805,12813,19.2,2018/05/14(17:00)
2018,05,13,117589,76940,55959,20981,37.5,2018/05/13(21:00)
2018,05,12,117589,75171,60553,14618,24.1,2018/05/12(11:00)
2018,05,11,117589,79009,65425,13584,20.8,2018/05/11(17:00)
2018,05,10,117589,79074,65752,13322,20.3,2018/05/10(17:00)
2018,05,09,117589,79444,65350,14094,21.6,2018/05/09(17:00)
2018,05,08,117589,79415,65600,13815,21.1,2018/05/08(17:00)
2018,05,07,117589,80891,60354,20537,34,2018/05/07(21:00)
2018,05,06,117589,80610,55321,25289,45.7,2018/05/06(21:00)
2018,05,05,117589,79174,56278,22896,40.7,2018/05/05(01:00)
2018,05,04,117589,81094,63828,17266,27.1,2018/05/04(17:00)
2018,05,03,116747,80297,65747,14550,22.1,2018/05/03(20:00)
2018,05,02,116747,81261,67840,13421,19.8,2018/05/02(15:00)
2018,05,01,116747,81580,60435,21145,35,2018/05/01(20:00)
2018,04,30,116747,80785,64781,16004,24.7,2018/04/30(17:00)
2018,04,29,116747,77172,55893,21279,38.1,2018/04/29(21:00)
2018,04,28,116747,78144,56946,21198,37.2,2018/04/28(21:00)
2018,04,27,116747,79175,64547,14628,22.7,2018/04/27(17:00)
2018,04,26,116747,78154,65403,12751,19.5,2018/04/26(20:00)
2018,04,25,116747,76747,64939,11808,18.2,2018/04/25(20:00)
2018,04,24,116747,79133,68449,10684,15.6,2018/04/24(11:00)
2018,04,23,116747,79894,69692,10202,14.6,2018/04/23(11:00)
2018,04,22,116747,77731,56420,21311,37.8,2018/04/22(20:00)
2018,04,21,116747,78552,57277,21275,37.1,2018/04/21(20:00)
2018,04,20,116747,78947,65575,13372,20.4,2018/04/20(17:00)
2018,04,19,116747,78924,66264,12660,19.1,2018/04/19(20:00)
2018,04,18,116747,78400,65506,12894,19.7,2018/04/18(20:00)
2018,04,17,116747,77568,66456,11112,16.7,2018/04/17(20:00)
2018,04,16,116747,79121,65800,13321,20.2,2018/04/16(20:00)
2018,04,15,116747,80067,56623,23444,41.4,2018/04/15(21:00)
2018,04,14,116747,81200,62481,18719,30,2018/04/14(11:00)
2018,04,13,116747,81726,66251,15475,23.4,2018/04/13(10:00)
2018,04,12,116747,81768,66438,15330,23.1,2018/04/12(20:00)
2018,04,11,116747,81614,65533,16081,24.5,2018/04/11(20:00)
2018,04,10,116747,82433,66523,15910,23.9,2018/04/10(20:00)
2018,04,09,116747,83521,68149,15372,22.6,2018/04/09(10:00)
2018,04,08,116747,82219,58110,24109,41.5,2018/04/08(20:00)
2018,04,07,116747,81063,60912,20151,33.1,2018/04/07(11:00)
2018,04,06,116747,83403,69296,14107,20.4,2018/04/06(10:00)
2018,04,05,116747,84634,70520,14114,20,2018/04/05(11:00)
2018,04,04,116747,85253,68281,16972,24.9,2018/04/04(11:00)
2018,04,03,116747,84946,66335,18611,28.1,2018/04/03(20:00)
2018,04,02,116747,83579,65846,17733,26.9,2018/04/02(20:00)
2018,04,01,116747,84193,56397,27796,49.3,2018/04/01(20:00)
2018,03,31,116747,85067,57558,27509,47.8,2018/03/31(01:00)
2018,03,30,116747,89166,65637,23529,35.8,2018/03/30(10:00)
2018,03,29,116747,87826,67110,20716,30.9,2018/03/29(10:00)
2018,03,28,116747,87816,66068,21748,32.9,2018/03/28(10:00)
2018,03,27,116747,88147,67622,20525,30.4,2018/03/27(10:00)
2018,03,26,116747,89715,69467,20248,29.1,2018/03/26(10:00)
2018,03,25,116747,86394,57513,28881,50.2,2018/03/25(23:00)
2018,03,24,116747,87003,61698,25305,41,2018/03/24(01:00)
2018,03,23,116747,89581,72231,17350,24,2018/03/23(10:00)
2018,03,22,116747,90196,73423,16773,22.8,2018/03/22(10:00)
2018,03,21,116747,90501,78017,12484,16,2018/03/21(11:00)
2018,03,20,116747,90937,72583,18354,25.3,2018/03/20(11:00)
2018,03,19,116747,90418,72795,17623,24.2,2018/03/19(11:00)
2018,03,18,116747,88083,58324,29259,50.2,2018/03/18(23:00)
2018,03,17,116747,87175,61946,25229,40.7,2018/03/17(01:00)
2018,03,16,116747,91314,72510,18804,25.9,2018/03/16(10:00)
2018,03,15,116747,90695,71174,19521,27.4,2018/03/15(11:00)
2018,03,14,116747,90597,68060,22537,33.1,2018/03/14(09:00)
2018,03,13,116747,90231,71017,19214,27.1,2018/03/13(10:00)
2018,03,12,116747,88956,73285,15671,21.4,2018/03/12(10:00)
2018,03,11,116747,85495,59781,25714,43,2018/03/11(24:00)
2018,03,10,116747,86257,64427,21830,33.9,2018/03/10(01:00)
2018,03,09,116747,90418,75922,14496,19.1,2018/03/09(10:00)
2018,03,08,116747,90761,78855,11906,15.1,2018/03/08(11:00)
2018,03,07,116747,90131,75974,14157,18.6,2018/03/07(10:00)
2018,03,06,116747,91932,74384,17548,23.6,2018/03/06(10:00)
2018,03,05,116428,91613,77198,14415,18.7,2018/03/05(11:00)
2018,03,04,116428,88452,58887,29565,50.2,2018/03/04(20:00)
2018,03,03,116428,90231,64571,25660,39.7,2018/03/03(01:00)
2018,03,02,116428,93668,76433,17235,22.5,2018/03/02(10:00)
2018,03,01,116428,93988,68728,25260,36.8,2018/03/01(20:00)
2018,02,28,116428,96527,78122,18405,23.6,2018/02/28(15:00)
2018,02,27,116428,96476,77133,19343,25.1,2018/02/27(10:00)
2018,02,26,116428,96486,76656,19830,25.9,2018/02/26(10:00)
2018,02,25,116428,94215,63005,31210,49.5,2018/02/25(24:00)
2018,02,24,116428,91253,66278,24975,37.7,2018/02/24(11:00)
2018,02,23,116428,97115,79069,18046,22.8,2018/02/23(10:00)
2018,02,22,116428,97291,79662,17629,22.1,2018/02/22(10:00)
2018,02,21,116428,97072,80128,16944,21.1,2018/02/21(10:00)
2018,02,20,116428,96945,79383,17562,22.1,2018/02/20(10:00)
2018,02,19,116428,97460,76438,21022,27.5,2018/02/19(11:00)
2018,02,18,116428,92300,61172,31128,50.9,2018/02/18(24:00)
2018,02,17,116428,91080,59867,31213,52.1,2018/02/17(24:00)
2018,02,16,116428,91926,57733,34193,59.2,2018/02/16(24:00)
2018,02,15,116428,96010,63182,32828,52,2018/02/15(01:00)
2018,02,14,116428,98260,77843,20417,26.2,2018/02/14(10:00)
2018,02,13,116428,99516,83809,15707,18.7,2018/02/13(10:00)
2018,02,12,116428,99856,86637,13219,15.3,2018/02/12(11:00)
2018,02,11,116428,96307,68538,27769,40.5,2018/02/11(24:00)
2018,02,10,116428,95524,71240,24284,34.1,2018/02/10(11:00)
2018,02,09,116428,100220,84660,15560,18.4,2018/02/09(10:00)
2018,02,08,116428,99882,87277,12605,14.4,2018/02/08(10:00)
2018,02,07,116428,101050,87513,13537,15.5,2018/02/07(11:00)
2018,02,06,116428,101148,88238,12910,14.6,2018/02/06(10:00)
2018,02,05,116428,100724,87623,13101,15,2018/02/05(11:00)
2018,02,04,116428,95710,69711,25999,37.3,2018/02/04(24:00)
2018,02,03,116428,96130,72685,23445,32.3,2018/02/03(11:00)
2018,02,02,116428,100029,84653,15376,18.2,2018/02/02(10:00)
2018,02,01,116428,100239,83904,16335,19.5,2018/02/01(10:00)
2018,01,31,116428,99706,85260,14446,16.9,2018/01/31(10:00)
2018,01,30,116428,99203,86754,12449,14.3,2018/01/30(10:00)
2018,01,29,116428,99605,86561,13044,15.1,2018/01/29(11:00)
2018,01,28,116428,95051,68496,26555,38.8,2018/01/28(01:00)
2018,01,27,116428,97365,74418,22947,30.8,2018/01/27(01:00)
2018,01,26,116428,99232,87063,12169,14,2018/01/26(11:00)
2018,01,25,116428,99147,87247,11900,13.6,2018/01/25(17:00)
2018,01,24,116428,98511,86277,12234,14.2,2018/01/24(17:00)
2018,01,23,116428,98318,85442,12876,15.1,2018/01/23(11:00)
2018,01,22,116428,97485,80609,16876,20.9,2018/01/22(11:00)
2018,01,21,116428,94866,63917,30949,48.4,2018/01/21(24:00)
2018,01,20,116428,92979,67813,25166,37.1,2018/01/20(11:00)
2018,01,19,116428,96839,79633,17206,21.6,2018/01/19(10:00)
2018,01,18,116428,96327,79748,16579,20.8,2018/01/18(10:00)
2018,01,17,116428,95696,80766,14930,18.5,2018/01/17(11:00)
2018,01,16,116428,96018,82564,13454,16.3,2018/01/16(11:00)
2018,01,15,116428,95204,80495,14709,18.3,2018/01/15(10:00)
2018,01,14,116428,94636,66286,28350,42.8,2018/01/14(01:00)
2018,01,13,116428,93735,72843,20892,28.7,2018/01/13(11:00)
2018,01,12,116428,98988,85497,13491,15.8,2018/01/12(11:00)
2018,01,11,116428,98986,85612,13374,15.6,2018/01/11(11:00)
2018,01,10,116428,99146,84978,14168,16.7,2018/01/10(11:00)
2018,01,09,116428,98786,84021,14765,17.6,2018/01/09(11:00)
2018,01,08,116428,98246,83012,15234,18.4,2018/01/08(11:00)
2018,01,07,116428,94608,64428,30180,46.8,2018/01/07(01:00)
2018,01,06,116428,94963,68502,26461,38.6,2018/01/06(11:00)
2018,01,05,116428,98798,82551,16247,19.7,2018/01/05(10:00)
2018,01,04,116428,98111,84027,14084,16.8,2018/01/04(11:00)
2018,01,03,116428,98830,81596,17234,21.1,2018/01/03(10:00)
2018,01,02,116428,98255,79331,18924,23.9,2018/01/02(11:00)
2018,01,01,116428,97398,62145,35253,56.7,2018/01/01(24:00)
2017,12,31,116908,96958,62446,34512,55.3,2017/12/31(24:00)
2017,12,30,116908,95536,64779,30757,47.5,2017/12/30(11:00)
2017,12,29,116908,97981,78857,19124,24.3,2017/12/29(10:00)
2017,12,28,116908,97955,83478,14477,17.3,2017/12/28(10:00)
2017,12,27,116657,98281,83589,14692,17.6,2017/12/27(10:00)
2017,12,26,116657,97780,81374,16406,20.2,2017/12/26(10:00)
2017,12,25,116657,96082,66498,29584,44.5,2017/12/25(19:00)
2017,12,24,116657,94461,63302,31159,49.2,2017/12/24(24:00)
2017,12,23,116657,93545,67211,26334,39.2,2017/12/23(11:00)
2017,12,22,116657,93545,81852,13992,17.1,2017/12/22(10:00)
2017,12,21,116657,94978,83450,11528,13.8,2017/12/21(10:00)
2017,12,20,116657,97205,83664,13541,16.2,2017/12/20(10:00)
2017,12,19,116657,97171,83873,13298,15.9,2017/12/19(10:00)
2017,12,18,116657,96581,84640,11941,14.1,2017/12/18(11:00)
2017,12,17,116657,95078,66825,28253,42.3,2017/12/17(19:00)
2017,12,16,116657,92603,70890,21713,30.6,2017/12/16(11:00)
2017,12,15,116657,96407,84115,12292,14.6,2017/12/15(10:00)
2017,12,14,116657,97828,84968,12860,15.1,2017/12/14(10:00)
2017,12,13,116657,97418,84012,13406,16,2017/12/13(10:00)
2017,12,12,116657,96095,85133,10962,12.9,2017/12/12(10:00)
2017,12,11,116657,95498,83927,11571,13.8,2017/12/11(18:00)
2017,12,10,116657,90784,64000,26784,41.9,2017/12/10(24:00)
2017,12,09,116657,88449,68767,19682,28.6,2017/12/09(11:00)
2017,12,08,116657,92551,81361,11190,13.8,2017/12/08(10:00)
2017,12,07,116657,91572,80127,11445,14.3,2017/12/07(11:00)
2017,12,06,116657,91812,80911,12776,16.1,2017/12/06(10:00)
2017,12,05,116657,91914,80788,11126,13.8,2017/12/05(10:00)
2017,12,04,116657,92469,79221,13248,16.7,2017/12/04(18:00)
2017,12,03,116278,91700,61218,30482,49.8,2017/12/03(19:00)
2017,12,02,116278,92906,66179,26727,40.4,2017/12/02(11:00)
2017,12,01,116278,92783,77668,15115,19.5,2017/12/01(10:00)
2017,11,30,116278,92483,77048,15435,20,2017/11/30(10:00)
2017,11,29,116278,93866,74378,19488,26.2,2017/11/29(10:00)
